Index;Consumption [kWh/h]
1632;1434,78
1633;1434,64
1634;1434,63
1635;1434,39
1636;1434,33
1637;1433,61
1638;1433,59
1639;1433,27
1640;1433,08
1641;1432,84
1642;1432,84
1643;1432,68
1644;1432,64
1645;1432,59
1646;1432,43
1647;1432,33
1648;1431,99
1649;1431,96
1650;1431,90
1651;1431,69
1652;1431,63
1653;1431,56
1654;1431,50
1655;1431,35
1656;1431,25
1657;1431,20
1658;1431,10
1659;1431,09
1660;1430,90
1661;1430,89
1662;1430,81
1663;1430,68
1664;1430,57
1665;1430,43
1666;1430,27
1667;1430,16
1668;1430,04
1669;1430,03
1670;1430,02
1671;1429,71
1672;1429,67
1673;1429,64
1674;1429,40
1675;1429,37
1676;1429,35
1677;1429,32
1678;1429,26
1679;1428,96
1680;1428,61
1681;1428,41
1682;1428,40
1683;1428,33
1684;1428,30
1685;1428,22
1686;1428,18
1687;1427,79
1688;1427,78
1689;1427,64
1690;1427,31
1691;1427,28
1692;1427,24
1693;1427,08
1694;1427,07
1695;1427,06
1696;1426,99
1697;1426,87
1698;1426,84
1699;1426,79
1700;1426,77
1701;1426,66
1702;1426,61
1703;1426,49
1704;1426,33
1705;1426,17
1706;1426,13
1707;1426,08
1708;1426,00
1709;1425,95
1710;1425,90
1711;1425,88
1712;1425,84
1713;1425,81
1714;1425,58
1715;1425,51
1716;1425,47
1717;1425,47
1718;1425,11
1719;1425,09
1720;1424,94
1721;1424,92
1722;1424,84
1723;1424,84
1724;1424,52
1725;1424,42
1726;1424,29
1727;1424,23
1728;1424,19
1729;1424,16
1730;1424,15
1731;1424,00
1732;1423,91
1733;1423,82
1734;1423,78
1735;1423,69
1736;1423,63
1737;1423,59
1738;1423,53
1739;1423,51
1740;1423,49
1741;1423,41
1742;1423,41
1743;1423,32
1744;1423,28
1745;1423,06
1746;1423,02
1747;1423,02
1748;1422,93
1749;1422,90
1750;1422,77
1751;1422,72
1752;1422,69
1753;1422,60
1754;1422,59
1755;1422,46
1756;1422,43
1757;1422,36
1758;1422,20
1759;1422,03
1760;1421,97
1761;1421,97
1762;1421,96
1763;1421,81
1764;1421,77
1765;1421,73
1766;1421,69
1767;1421,66
1768;1421,59
1769;1421,54
1770;1421,53
1771;1421,42
1772;1421,42
1773;1421,18
1774;1421,17
1775;1421,05
1776;1421,00
1777;1420,93
1778;1420,92
1779;1420,88
1780;1420,76
1781;1420,61
1782;1420,39
1783;1420,03
1784;1419,85
1785;1419,78
1786;1419,73
1787;1419,58
1788;1419,58
1789;1419,42
1790;1419,41
1791;1419,40
1792;1419,37
1793;1419,37
1794;1419,26
1795;1419,25
1796;1419,24
1797;1419,23
1798;1419,05
1799;1419,03
1800;1418,98
1801;1418,97
1802;1418,94
1803;1418,89
1804;1418,74
1805;1418,58
1806;1418,39
1807;1418,36
1808;1418,20
1809;1418,16
1810;1418,08
1811;1417,85
1812;1417,84
1813;1417,79
1814;1417,61
1815;1417,57
1816;1417,56
1817;1417,54
1818;1417,47
1819;1417,47
1820;1417,45
1821;1417,45
1822;1417,17
1823;1417,09
1824;1417,04
1825;1416,84
1826;1416,81
1827;1416,71
1828;1416,70
1829;1416,62
1830;1416,59
1831;1416,52
1832;1416,41
1833;1416,39
1834;1416,39
1835;1416,29
1836;1416,23
1837;1416,20
1838;1416,14
1839;1416,10
1840;1416,00
1841;1416,00
1842;1415,94
1843;1415,93
1844;1415,84
1845;1415,53
1846;1415,45
1847;1415,43
1848;1415,39
1849;1415,21
1850;1415,11
1851;1415,08
1852;1415,06
1853;1414,99
1854;1414,86
1855;1414,78
1856;1414,76
1857;1414,72
1858;1414,69
1859;1414,63
1860;1414,63
1861;1414,60
